0,27AB
1,ECF6
2,2442
3,8064
4,8992
5,E7AB
6,B7AB
7,18F5
8,7765
9,5673
10,E0A0
11,8982
12,718A
13,626C
14,E171
15,EA00
16,C26A
17,3B29
18,999B
19,51CA
20,8179
21,4E10
22,DD3E
23,E85D
24,1205
25,6D17
26,2916
27,5351
28,D349
29,B80F
30,73DC
31,FC3D
32,D5BA
33,E000
34,25BA
35,BCD3
36,EEC0
37,6DD4
38,A8EC
39,85BA
40,EDD0
41,E7A5
42,0E8D
43,F2EB
44,0C30
45,55EB
46,52BE
47,6D86
48,2C48
49,C47C
50,1464
51,C6EF
52,6C1B
53,C0E0
54,433E
55,D868
56,D838
57,FC57
58,5BA6
59,0E3A
60,F85C
61,6F8E
62,36B2
63,0E8C
64,EA1E
65,5FF1
66,28B1
67,DA41
68,F50C
69,F98D
70,50A2
71,F994
72,7627
73,B333
74,8AC4
75,D0E2
76,883F
77,0DE1
78,6400
79,1350
80,03E8
81,A561
82,636A
83,3D11
84,6088
85,EFB7
86,89F0
87,6C91
88,9FC9
89,A2AE
90,370A
91,5E66
92,E441
93,6EEE
94,CE5A
95,B72A
96,619C
97,EF26
98,5B7B
99,88B8
100,3A0C
101,361A
102,D72C
103,C68E
104,F837
105,6A41
106,08B8
107,EFF1
108,B63A
109,C13E
110,DECA
111,FA0B
112,227E
113,7B47
114,19B4
115,9AC6
116,C9F3
117,619A
118,5001
119,F1DA
120,05EE
121,4F8C
122,E610
123,E9F6
124,21BC
125,D422
126,9027
127,EDBE
128,56A7
129,A314
130,AF26
131,F3EC
132,4BDB
133,A28E
134,FE51
135,6FAE
136,511C
137,952A
138,5441
139,389B
140,6012
141,FCB1
142,5566
143,D360
144,F81C
145,F81F
146,B58B
147,42E9
148,558B
149,6001
150,00D0
151,FDC1
152,FF8C
153,4BDA
154,63BD
155,1E71
156,C474
157,4E63
158,BFAF
159,D8BE
160,1A3D
161,E185
162,90F5
163,A0E0
164,75E1
165,5F74
166,0E31
167,35E1
168,6491
169,D5E1
170,CB47
171,F0E2
172,C518
173,94C9
174,624A
175,0EDA
176,3B41
177,47BD
178,70F2
179,B21F
180,9D32
181,A1CC
182,3ED9
183,346F
184,A860
185,5DBA
186,2AAE
187,F34A
188,748D
189,0BDA
190,A61C
191,3578
192,6F7E
193,C2E0
194,7B07
195,205E
196,4578
197,46B0
198,A578
199,2C18
200,CE9F
201,3ED1
202,8529
203,ECCA
204,9707
205,E529
206,7529
207,4CDE
208,221C
209,B529
210,F1CA
211,C0D4
212,AC2A
213,2A53
214,CB2E
215,C4CC
216,99B6
217,7C64
218,3E00
219,F730
220,FDBE
221,9A86
222,27F7
223,E8F7
224,BCED
225,63F1
226,E370
227,EEB0
228,AAB6
229,ADDC
230,CC99
231,5051
232,16CE
233,8CCC
234,9B2D
235,458A
236,D58A
237,C0CB
238,8B1F
239,3474
240,345A
241,C346
242,FEF0
243,B401
244,401E
245,9199
246,E7C9
247,A5C0
248,6B77
249,8AB2
250,61E1
251,B6D5
252,09E1
253,0E22
254,71A1
255,CE9C
256,A075
257,9A3B
258,F750
259,1F85
260,200D
261,63C0
262,E1DC
263,42C6
264,7721
265,BF6B
266,8C6D
267,6D27
268,1BF8
269,C799
270,9EE9
271,27C9
272,3486
273,55FB
274,C460
275,5486
276,4853
277,5B9C
278,1FDE
279,42B3
280,50C1
281,43E9
282,89C9
283,955D
284,8664
285,779E
286,F8E1
287,EDA0
288,9646
289,999F
290,E2ED
291,07E0
292,7568
293,26A2
294,1103
295,1568
296,147D
297,9266
298,B240
299,703D
300,AC41
301,C5E9
302,2AAB
303,F5E9
304,FB57
305,9B31
306,F04C
307,35E9
308,05E9
309,5AFC
310,7495
311,3B72
312,1C73
313,243F
314,A43F
315,C53E
316,B53E
317,26E0
318,D53E
319,4C40
320,7574
321,C38A
322,DB1E
323,AC3F
324,2C3F
325,6EC4
326,3D3E
327,78A5
328,6FC4
329,C6E0
330,CF33
331,95BA
332,520E
333,B5CD
334,9F11
335,FA05
336,876E
337,6499
338,55BA
339,1DFD
340,6599
341,C7CA
342,D4AA
343,BD80
344,5245
345,54BA
346,42EF
347,12BA
348,3200
349,F1DF
350,3020
351,0DED
352,8065
353,1F89
354,70FC
355,1BD7
356,9AC8
357,71E1
358,41E1
359,9252
360,25E1
361,84E5
362,1CF9
363,435C
364,B46D
365,15E1
366,06C5
367,F825
368,5A0E
369,1DEC
370,6A78
371,A85A
372,4C76
373,BC3E
374,3C3E
375,4C5D
376,3C2E
377,9BEF
378,2BC5
379,1C36
380,DE15
381,B2BF
382,A3C5
383,B2B4
384,1A3E
385,8A46
386,E920
387,6CF7
388,5774
389,F391
390,F71A
391,637F
392,773A
393,271A
394,F449
395,E73A
396,E15D
397,B108
398,8B20
399,726F
400,4C96
401,DD95
402,A85E
403,EDF0
404,76EA
405,AADD
406,36FA
407,1173
408,AAE1
409,B6EA
410,D531
411,ED92
412,35DF
413,2C37
414,A4BF
415,9A84
416,B5BE
417,99AD
418,8676
419,4CC0
420,31BA
421,C761
422,8365
423,ACB7
424,ACBF
425,8899
426,BDBE
427,20BB
428,03ED
429,C660
430,7253
431,5A61
432,C545
433,A7DE
434,966C
435,46EC
436,D52A
437,903E
438,2915
439,6EAB
440,7D9F
441,D000
442,73C4
443,B498
444,2DF9
445,4B66
446,B44A
447,7984
448,CBAC
449,945A
450,45C7
451,7C9E
452,D0B5
453,0718
454,D864
455,4286
456,54B4
457,784F
458,4B77
459,D4A4
460,F6E7
461,125B
462,913F
463,716D
464,610C
465,2904
466,76A2
467,00D7
468,935E
469,F409
470,2643
471,C3FD
472,A2AB
473,BCB6
474,BCBE
475,13B9
476,BCAE
477,3100
478,03A8
479,9C3E
480,ED33
481,86E5
482,5AAC
483,303E
484,383E
485,D00D
486,E30A
487,F20F
488,52A4
489,5911
490,91FF
491,8094
492,10D8
493,3F8B
494,A7CA
495,BAE0
496,27EA
497,7F6D
498,45C5
499,37CA
500,E767
501,E9BE
502,D33E
503,9FB6
504,CCDA
505,14A8
506,34B8
507,5A13
508,CCC7
509,499E
510,033E
511,8C4B
512,EBB0
513,6E71
514,C1CA
515,848E
516,DFB6
517,C2A7
518,3822
519,F8F3
520,23C0
521,69E9
522,092E
523,AC95
524,DAAB
525,89FB
526,8BFA
527,E1C9
528,CE94
529,2AA4
530,A741
531,4516
532,258A
533,40AA
534,9501
535,B75C
536,8D56
537,E575
538,F0F1
539,158A
540,F5EB
541,3910
542,BAF6
543,D467
544,421A
545,3EB8
546,EAB4
547,81E2
548,C780
549,8CB4
550,D8A8
551,C117
552,0FE3
553,6CCE
554,5907
555,2BA7
556,7981
557,B49F
558,FA3D
559,9B2B
560,3272
561,74A7
562,FF4B
563,2486
564,7747
565,D2D4
566,C690
567,39DC
568,EDA4
569,E82D
570,6B26
571,62BD
572,834C
573,BC84
574,9FBE
575,8DAF
576,DBBB
577,0D21
578,CB84
579,4ECC
580,C504
581,64BD
582,37BE
583,F33B
584,C022
585,834A
586,A02C
587,D204
588,6D21
589,5289
590,9C10
591,5285
592,9292
593,7B30
594,0256
595,E7DA
596,E1BD
597,8DA4
598,2B65
599,8692
600,D235
601,14A3
602,F47D
603,ACB4
604,99BB
605,EA89
606,67EB
607,1865
608,AEB5
609,832A
610,4219
611,B577
612,BB87
613,2D36
614,A5BE
